[2025-04-13 00:12:06,695]-[main] INFO  Exposed - Extracting table columns took 50ms
[2025-04-13 00:12:06,742]-[main] INFO  Exposed - Extracting primary keys took 46ms
[2025-04-13 00:12:07,301]-[main] INFO  Exposed - Extracting column constraints took 558ms
[2025-04-13 00:12:07,301]-[main] INFO  Exposed - Preparing alter table statements took 656ms
[2025-04-13 00:12:07,343]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:07,473]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:07,520]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:07,561]-[main] INFO  Exposed - Executing create tables statements took 41ms
[2025-04-13 00:12:07,607]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:07,654]-[main] INFO  Exposed - Extracting primary keys took 47ms
[2025-04-13 00:12:07,985]-[main] INFO  Exposed - Extracting column constraints took 331ms
[2025-04-13 00:12:07,985]-[main] INFO  Exposed - Preparing alter table statements took 423ms
[2025-04-13 00:12:08,028]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:08,162]-[main] INFO  Exposed - Checking mapping consistence took 133ms
[2025-04-13 00:12:08,207]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:08,251]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:08,296]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:08,341]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:08,452]-[main] INFO  Exposed - Extracting column constraints took 111ms
[2025-04-13 00:12:08,452]-[main] INFO  Exposed - Preparing alter table statements took 201ms
[2025-04-13 00:12:08,495]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:08,626]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:12:08,671]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:08,713]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:08,757]-[main] INFO  Exposed - Extracting table columns took 44ms
[2025-04-13 00:12:08,802]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:09,464]-[main] INFO  Exposed - Extracting column constraints took 661ms
[2025-04-13 00:12:09,464]-[main] INFO  Exposed - Preparing alter table statements took 751ms
[2025-04-13 00:12:09,507]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:09,637]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:09,682]-[main] INFO  Exposed - Preparing create tables statements took 44ms
